District,School,Subject,Scored,County,Year,Baseline,Score
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,128,Columbia,2018,Proficient,45.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,129,Columbia,2018,Proficient,74.4
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,137,Columbia,2018,Proficient,46
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,138,Columbia,2018,Proficient,34.1
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,138,Columbia,2018,Proficient,42
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2018,Proficient,35.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,42,Columbia,2018,Proficient,31
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,41,Columbia,2018,Proficient,68.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,106,Columbia,2018,Proficient,63.2
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,107,Columbia,2018,Proficient,68.2
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,107,Columbia,2018,Proficient,72
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2018,Proficient,18.2
DANVILLE AREA SD,DANVILLE AREA SHS,Math,147,Montour,2018,Proficient,24.5
DANVILLE AREA SD,DANVILLE AREA SHS,Science,155,Montour,2018,Proficient,29.7
DANVILLE AREA SD,DANVILLE AREA SHS,English,156,Montour,2018,Proficient,64.1
