Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,7,158,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,22.2,36
English,8,146,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,19.9,30
Math,5,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,22,32
Math,6,120,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,29.2,36
Math,7,158,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,27.2,43
Math,8,145,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,37.9,55
Science,8,145,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,48.3,71
English,3,35,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,17.1,6
English,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,32.6,15
English,5,39,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,7.7,4
English,6,58,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,12.1,8
Math,3,36,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,27.8,11
Math,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,13,6
Math,5,39,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,2.6,2
Math,6,58,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,6.9,5
Science,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,50,23
English,7,57,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,12.3,8
English,8,62,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,4.8,3
Math,7,56,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,10.7,6
Math,8,61,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,11.5,8
Science,8,60,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,23.3,14
English,3,111,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,20.7,23
English,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,11.7,11
Math,3,112,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,29.5,34
Math,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,27.7,27
Science,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,43.6,41
English,5,97,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,19.6,20
